year_month,category,amt
202507,제과/제빵/떡/케익,49251523769
202507,중식,32102402309
202507,커피/음료,107343398854
202507,패스트푸드,40148344072
202507,한식,329242855382
202507,휴게소/대형업체,9177339844
202508,간이주점,44208391220
202508,고기요리,101276228727
202508,닭/오리요리,51189890070
202508,별식/퓨전요리,52879943707
202508,부페,8759537998
202508,분식,51773826395
202508,양식,25432443851
202508,유흥주점,15243248827
202508,음식배달서비스,1147021350
202508,일식/수산물,84936666973
202508,제과/제빵/떡/케익,53575356004
202508,중식,32943551322
202508,커피/음료,107690562468
202508,패스트푸드,43511218553
202508,한식,338586835699
202508,휴게소/대형업체,10120143533
202509,간이주점,40527767443
202509,고기요리,91342055022
202509,닭/오리요리,43736862270
202509,별식/퓨전요리,49224279350
202509,부페,9014859938
202509,분식,45261558163
202509,양식,21826168000
202509,유흥주점,14246182837
202509,음식배달서비스,952562893
202509,일식/수산물,78965314689
202509,제과/제빵/떡/케익,53494422716
202509,중식,29950672365
202509,커피/음료,95749404760
202509,패스트푸드,39921917290
202509,한식,318039599656
202509,휴게소/대형업체,8889323661
202510,간이주점,42643337794
202510,고기요리,95339158769
202510,닭/오리요리,45849843942
202510,별식/퓨전요리,52830108331
202510,부페,8339136100
202510,분식,47089798201
202510,양식,23749167305
202510,유흥주점,15338473968
202510,음식배달서비스,1738165332
202510,일식/수산물,87414924754
202510,제과/제빵/떡/케익,59164578362
202510,중식,32467334565
202510,커피/음료,99559105036
202510,패스트푸드,42553734366
202510,한식,330346481367
202510,휴게소/대형업체,11264963180
202511,간이주점,40383455471
202511,고기요리,91891105475
202511,닭/오리요리,43968445871
202511,별식/퓨전요리,50504568268
202511,부페,9373224156
202511,분식,44379740171
202511,양식,23474600901
202511,유흥주점,14914127668
202511,음식배달서비스,1320327799
202511,일식/수산물,83406431584
202511,제과/제빵/떡/케익,54373547439
202511,중식,31017255053
202511,커피/음료,92025821643
202511,패스트푸드,40169578667
202511,한식,329196479068
202511,휴게소/대형업체,9868882398
