month,age_group,card_tpbuz_nm_2,amt
202210,30대,일식/수산물,16682766884
202210,30대,중식,6742709854
202210,30대,패스트푸드,10133060064
202210,30대,한식,58348525959
202210,40대,간이주점,12203606798
202210,40대,고기요리,48514195316
202210,40대,디저트/음료,42840993255
202210,40대,별식/퓨전요리,8272224542
202210,40대,분식,15012739157
202210,40대,양식,7080229887
202210,40대,일식/수산물,24509986988
202210,40대,중식,9888498332
202210,40대,패스트푸드,12028231109
202210,40대,한식,80280639098
202210,50대,간이주점,8381621587
202210,50대,고기요리,43418114208
202210,50대,디저트/음료,32281635992
202210,50대,별식/퓨전요리,7417192661
202210,50대,분식,11985883949
202210,50대,양식,4069724713
202210,50대,일식/수산물,25681849984
202210,50대,중식,7589011116
202210,50대,패스트푸드,7630775178
202210,50대,한식,78677530148
202210,60대+,간이주점,2964713860
202210,60대+,고기요리,25602938728
202210,60대+,디저트/음료,17765754873
202210,60대+,별식/퓨전요리,4742558239
202210,60대+,분식,6735952481
202210,60대+,양식,1825961261
202210,60대+,일식/수산물,18631669542
202210,60대+,중식,4213657942
202210,60대+,패스트푸드,2993804256
202210,60대+,한식,55093916963
202211,20대,간이주점,12458862281
202211,20대,고기요리,21921704014
202211,20대,디저트/음료,19624998943
202211,20대,별식/퓨전요리,3403074716
202211,20대,분식,5557951515
202211,20대,양식,3380092789
202211,20대,일식/수산물,8246706421
202211,20대,중식,3733110919
202211,20대,패스트푸드,7095573250
202211,20대,한식,31803321306
202211,30대,간이주점,11123489055
202211,30대,고기요리,32156404180
202211,30대,디저트/음료,30813028364
202211,30대,별식/퓨전요리,5559071202
202211,30대,분식,8492671875
202211,30대,양식,5312278826
202211,30대,일식/수산물,14534818227
202211,30대,중식,6318147319
202211,30대,패스트푸드,9016780505
202211,30대,한식,52291216345
202211,40대,간이주점,10807468000
202211,40대,고기요리,44173716746
202211,40대,디저트/음료,38741967795
202211,40대,별식/퓨전요리,7683796408
202211,40대,분식,13230139822
202211,40대,양식,6154297457
202211,40대,일식/수산물,21154691810
202211,40대,중식,9141192983
202211,40대,패스트푸드,10939494854
202211,40대,한식,72283475760
202211,50대,간이주점,7532132508
202211,50대,고기요리,39781843018
202211,50대,디저트/음료,29516415431
202211,50대,별식/퓨전요리,6962502179
202211,50대,분식,10573059377
202211,50대,양식,3727594607
202211,50대,일식/수산물,22588694837
202211,50대,중식,7069415849
202211,50대,패스트푸드,7097882384
202211,50대,한식,70850723374
202211,60대+,간이주점,2723109331
202211,60대+,고기요리,22753948470
202211,60대+,디저트/음료,16701094094
202211,60대+,별식/퓨전요리,4430723164
202211,60대+,분식,5912774997
202211,60대+,양식,1594403652
202211,60대+,일식/수산물,16669915822
202211,60대+,중식,3912953560
202211,60대+,패스트푸드,2784501457
202211,60대+,한식,49545993949
202212,20대,간이주점,12887576080
202212,20대,고기요리,22381959206
202212,20대,디저트/음료,20614319690
202212,20대,별식/퓨전요리,3674608840
202212,20대,분식,5509455513
202212,20대,양식,3800180508
202212,20대,일식/수산물,9220107132
202212,20대,중식,3879151090
202212,20대,패스트푸드,7028042202
202212,20대,한식,33960939937
202212,30대,간이주점,11882420863
202212,30대,고기요리,34219646487
202212,30대,디저트/음료,32052512559
202212,30대,별식/퓨전요리,6097863514
202212,30대,분식,8577388457
202212,30대,양식,6276980008
202212,30대,일식/수산물,16997390390
202212,30대,중식,6742437696
202212,30대,패스트푸드,9482296839
202212,30대,한식,56473231021
202212,40대,간이주점,11917139080
202212,40대,고기요리,48013196948
202212,40대,디저트/음료,40613288375
202212,40대,별식/퓨전요리,8649065206
202212,40대,분식,13398614887
202212,40대,양식,7447058135
202212,40대,일식/수산물,25312733279
202212,40대,중식,10042745060
202212,40대,패스트푸드,11541996946
202212,40대,한식,79415128213
202212,50대,간이주점,8194972155
202212,50대,고기요리,43754537145
202212,50대,디저트/음료,30707247925
202212,50대,별식/퓨전요리,7995674034
202212,50대,분식,10659546044
202212,50대,양식,4484465917
202212,50대,일식/수산물,27739807418
202212,50대,중식,7723025967
202212,50대,패스트푸드,7523683350
202212,50대,한식,76960361937
202212,60대+,간이주점,2935738348
202212,60대+,고기요리,25893478456
202212,60대+,디저트/음료,16979938711
202212,60대+,별식/퓨전요리,5066232066
202212,60대+,분식,5786934195
202212,60대+,양식,1901954196
202212,60대+,일식/수산물,19238836503
202212,60대+,중식,4123477725
202212,60대+,패스트푸드,2866696964
202212,60대+,한식,52419606348
202301,20대,간이주점,13160447890
202301,20대,고기요리,20495540433
202301,20대,디저트/음료,18969935130
202301,20대,별식/퓨전요리,3270553722
202301,20대,분식,5011873394
202301,20대,양식,3385871318
202301,20대,일식/수산물,7875487992
202301,20대,중식,3554862729
202301,20대,패스트푸드,6482905806
202301,20대,한식,30946810401
202301,30대,간이주점,11432721311
